file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,5
style.css,2,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,31
style.css,3,css,ecb8fb73,namtpham26,2025-10-14,18:12:55,-07:00,2025-10-14T18:12:55-07:00,2,39
style.css,4,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,0
style.css,5,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,0
style.css,6,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,4
style.css,7,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,32
style.css,8,css,ecb8fb73,namtpham26,2025-10-14,18:12:55,-07:00,2025-10-14T18:12:55-07:00,2,23
style.css,9,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,0
style.css,10,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,0
style.css,11,css,018338c1,namtpham26,2025-10-03,03:48:20,-07:00,2025-10-03T03:48:20-07:00,0,4
style.css,12,css,018338c1,namtpham26,2025-10-03,03:48:20,-07:00,2025-10-03T03:48:20-07:00,2,88
style.css,13,css,018338c1,namtpham26,2025-10-03,03:48:20,-07:00,2025-10-03T03:48:20-07:00,4,0
style.css,14,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,25
style.css,15,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,16
style.css,16,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,16
style.css,17,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,17
style.css,18,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,12
style.css,19,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,0
style.css,20,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,0
style.css,21,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,3
style.css,22,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,12
style.css,23,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,23
style.css,24,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,2,25
style.css,25,css,ecb8fb73,namtpham26,2025-10-14,18:12:55,-07:00,2025-10-14T18:12:55-07:00,2,43
style.css,26,css,ecb8fb73,namtpham26,2025-10-14,18:12:55,-07:00,2025-10-14T18:12:55-07:00,2,39
style.css,27,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,0
style.css,28,css,908f7a01,namtpham26,2025-10-09,07:03:32,-07:00,2025-10-09T07:03:32-07:00,0,0
